       Price | Rating       |        Pages |   Unit Value | Title       
     28.50zł | 4.33       |        120 |       0.05zł | Domestic Fluff
     25.72zł | 5.00       |         68 |       0.08zł | Gdzie jest Johnny? Cyberpunk 2077. Tom 3
     34.21zł | 4.40       |        208 |       0.04zł | W ukryciu. Wied mag. Tom 2
     19.77zł | 4.90       |        320 |       0.01zł | Heartstopper. Tom 2
     32.16zł | 4.60       |        192 |       0.04zł | After. Powie   graficzna. Tom 1
     35.17zł | 4.80       |        256 |       0.03zł | Dziewczyna z g  bi oceanu
     26.25zł | 5.00       |        240 |       0.02zł | Dogman. Tom 1
     32.12zł | 4.30       |        192 |       0.04zł | After. Powie   graficzna. Tom 2
     35.17zł | 4.30       |        208 |       0.04zł | Zimowe przesilenie. Wied mag. Tom 3
     25.99zł | 5.00       |        224 |       0.02zł | Szkar atna obro a. Dogman. Tom 12
     27.49zł | 5.00       |        128 |       0.04zł | S owia skie mity i opowie ci w komiksie. Naukomiks
     32.18zł | 5.00       |        128 |       0.05zł | Pierwiastki - tajemnice cz stek buduj cych  wiat. Naukomiks
     19.81zł | 4.50       |        112 |       0.04zł | Bicz. Pocz tek legendy. Wojownicy. Manga. Tom 1
     56.74zł | 4.50       |        112 |       0.11zł | Pakiet  cie ka Kruczej  apy. Cz   1-3. Wojownicy. Manga. Tomy 8-10: Zm cony spok j, Klan w potrzebie, Serce wojownika
     25.42zł | 4.80       |        320 |       0.02zł | Heartstopper. Tom 5
     30.69zł | 4.80       |        128 |       0.05zł | Wulkany - ogie  i  ycie. Naukomiks
     32.18zł | 5.00       |        128 |       0.05zł | Uk ad S oneczny - nasze miejsce w kosmosie. Naukomiks
     36.25zł | 4.80       |        288 |       0.03zł | True Beauty. Tom 1
     28.60zł | 5.00       |         96 |       0.06zł | Mitologia Grek w i Rzymian w komiksie
      5.59zł | 5.00       |         56 |       0.02zł | Podr  do  wier  ko a  wiata. Tytus, Romek i A’Tomek. Ksi ga V
     36.25zł | 4.90       |        272 |       0.03zł | True Beauty. Tom 2
     31.49zł | 5.00       |        128 |       0.05zł | Detektyw Wr bel i tajemniczy przybysze
     20.80zł | 5.00       |         60 |       0.07zł | Biuro detektywistyczne Lassego i Mai. Sabota  w punkcie skupu i inne komiksy
      5.59zł | 5.00       |         54 |       0.02zł | Tytus poprawia dw jk  z geografii Polski. Tytus, Romek i A’Tomek. Ksi ga VII
      5.59zł | 4.00       |         56 |       0.02zł | Tytus na Dzikim Zachodzie. Tytus, Romek i A’Tomek. Ksi ga IX
     20.19zł | 4.60       |        224 |       0.02zł | Na przek r. Superkot. Klub komiksowy. Tom 3
     69.11zł | 5.00       |        312 |       0.04zł | Wied min  
